,area,BL13noshock,BL1noshock,BL20noshock,BL19noshock,BL15noshock,BL11noshock,BL7noshock
0,Frontal pole cerebral cortex,641.5856330645735,25.66342532258294,318.95971472353085,273.1321695046327,9.165509043779622,170.47846821430096,263.9666604608531
1,Primary motor area,3667.027635682271,331.8920963620129,578.4887684681396,337.97256224956124,236.2936604633364,1104.2801659108602,1422.3223121956798
2,Secondary motor area,1670.2239398825657,145.51027232143883,372.9157732860995,361.07021342877636,217.46108034369803,439.01692211955714,1048.2589266332398
3,Primary somatosensory area,3590.770546395391,528.5244796494485,305.76918875562194,332.93446813291786,223.71406546008402,1028.2857223111719,1279.0052713875089
4,Supplemental somatosensory area,2605.4631490759552,421.74000867587046,173.99424478537168,139.02585210621658,153.4370684830805,318.5302678592127,1010.9044429064834
5,Visceral area,303.78442687795587,326.54863457682075,167.1991806847664,146.78989102371511,115.39098385286695,244.9114759326156,1287.3551940047741
6,Dorsal auditory area,2805.6465843206424,473.40559616838874,343.3324930678091,477.94302999747873,225.3592135114694,476.4305520544487,1783.2114948323651
7,Primary auditory area,2653.365991512827,1136.0298397755612,243.685413161733,304.1684833349689,231.41348588020688,262.0933040840222,1269.267907403559
8,Posterior auditory area,2089.3796243597003,696.4598747865668,203.98406374501957,338.03073420603243,192.32783153101846,136.96072851451314,1322.982356289127
9,Ventral auditory area,1126.5844177792815,352.8815278012511,146.01994253844873,549.6028392766611,185.56701030927857,257.56295419976374,1218.860909244551
10,Anterolateral visual area,2958.195617965457,424.6794365413905,395.558560892838,1140.5676295683058,274.22157902386925,470.78748965159855,1929.2580117166024
11,Anteromedial visual area,470.62183194117085,84.5291639894336,100.52116798743455,1215.3923038480723,70.82173199114708,210.1806239737268,1274.7911758406472
12,Lateral visual area,2599.9107780861555,416.89531427037474,432.0551438802066,930.8135380436731,95.5069265419404,291.06872850877073,1626.649717134953
13,Primary visual area,1323.6560004401354,367.5467961115743,283.85338417459826,897.334219246607,61.483509740108595,255.1430227981599,1090.7228798388428
14,Posterolateral visual area,591.2096837741018,591.2096837741018,146.63862235341895,379.3983403747189,100.08667874915898,46.55194360425999,204.82855185874394
16,Laterointermediate area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Postrhinal area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Anterior cingulate area,1484.75278686662,210.2032605715864,620.3559641259013,1108.4376813555361,162.0103179039544,40.6734764358029,929.3376674701519
19,Prelimbic area,725.7262502064335,67.32735438808336,529.2243205388878,775.8303278905885,339.7682767956765,29.749296124967067,743.7324031241767
20,Infralimbic area,780.9419434291747,80.26347751910961,852.5282882435156,763.5876780196375,2227.85382194934,54.23207940480379,872.051836829245
21,Orbital area,1275.691700436026,120.1715149562425,164.10518709078278,506.5293963746996,1056.6694231770678,270.70895035841727,711.660880238178
22,Agranular insular area,659.0314879026502,446.7371115707632,213.23685968963116,593.5288945394263,335.28845451750846,478.0746832157587,802.2889582797725
23,Retrosplenial area,918.0924263438352,278.528533846362,420.3314723019969,822.1669091532588,47.50942439306436,62.01611886422904,782.8175004002245
24,Anterior area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Rostrolateral visual area,2514.5012257212893,642.6551008862907,1001.0937205355458,1450.0471431265319,108.6177635300773,700.5845747689986,1484.4427682443898
26,Perirhinal area,821.954846559416,220.6299851291064,387.1839935108828,919.29160470461,549.4119237528728,1873.191834527511,3209.9499797215085
27,Ectorhinal area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Main olfactory bulb,4010.209033227054,1012.8261146751938,508.7613673646667,1478.1437465390698,364.8099627052895,503.71250080646666,479.290076524941
29,Accessory olfactory bulb,4593.763960884703,1271.6584290060202,392.11737425453305,1102.8301150908742,612.6833972727079,149.76705266666193,884.9871293939113
30,Anterior olfactory nucleus,446.6252317086468,317.1349301542301,138.79499388168017,1143.3140697124995,165.93367983619865,324.5011449133137,531.14285368129
31,Taenia tecta,389.48684871342994,180.2479591133349,297.4721562989303,1308.3732976198714,510.49247161468975,141.17322671813642,535.7019763857855
32,Dorsal peduncular area,378.49937819538604,74.28492469255241,173.33149094928893,385.5741329280101,187.48100041453702,102.58394362304855,385.5741329280101
33,Piriform area,2203.3442785463853,511.23778096596374,400.5930824767117,1384.0466302093048,135.5068256795453,430.3947051352751,571.1703259809752
34,Nucleus of the lateral olfactory tract,2009.0824919536324,1145.6284996252455,434.54874123716206,1286.7157532736746,152.37423394030358,180.5916846699894,231.38309598342394
35,Cortical amygdalar area,511.3037240719725,294.3869926474993,227.24609958754334,408.01004244127097,35.00508099707107,63.6977703389326,177.32082013270426
36,Piriform-amygdalar area,174.19193104902763,389.6398457675618,215.44791471853415,288.7918856865458,6.111997580667635,39.72798427433963,131.40794798435417
37,Postpiriform transition area,1364.8282347734669,349.17298224262817,358.46655971676654,270.8414006748903,58.41677269458418,183.21624163301402,212.4246279803061
38,Ammon's horn,1983.7039340147242,289.2643934383613,511.63709853788663,1213.0442305479667,248.2299963901678,612.0308425489463,1184.826056139483
39,Dentate gyrus,2514.4146974366577,665.8961170627193,1081.7633569084228,1510.3439294939744,253.98413629163545,814.7833693716091,1144.7649835970042
40,Fasciola cinerea,351.7633972387775,603.0229666950471,1633.1872014657527,1633.1872014657527,0.0,0.0,603.0229666950471
41,Induseum griseum,38.14190643314071,88.99778167732832,228.85143859884425,139.85365692151595,25.427937622093808,0.0,12.713968811046904
42,Entorhinal area,2107.6154564746985,486.6690914990444,438.60507592429366,659.6660534806387,135.31611353448997,393.05311691268315,418.3411529816287
43,Parasubiculum,2410.6971188860084,680.5138812013867,244.23922859556617,807.2945494800013,259.1546013342267,962.0415416436042,1331.1970169254523
44,Postsubiculum,3618.5849099200714,702.2170045604355,419.59633358919854,613.7896780602325,84.95958820607738,362.378651736126,1080.200478620127
45,Presubiculum,5710.556559805457,1829.595791005632,1266.302056562686,1616.697371688613,563.2937344429461,1053.403637245667,1594.520453009757
46,Subiculum,6545.965955075542,925.5549216542148,1029.998275198681,1981.027185522278,382.95896299637695,787.1462498839056,920.4601239203383
47,Prosubiculum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Hippocampo-amygdalar transition area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Area prostriata,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Claustrum,706.7427611982458,533.1568198513082,164.28669448906592,1742.0589113746234,499.05958137244556,740.8399996771086,1441.3832629701067
