,area,BL2observer,BL16observer,BL10observer,BL5observer,BL18observer,BL8observer,BL21observer
0,Frontal pole cerebral cortex,933.0488206567654,183.31018087559244,520.6009136866825,179.64397725808058,243.80254056453794,115.48541395162323,137.48263565669433
1,Primary motor area,2961.693592726665,545.0462060866238,1313.7184353708583,1130.7977532537793,695.7066386336545,872.7157566933947,344.3908317975289
2,Secondary motor area,2314.8563824884977,838.4024032349837,679.8766392184614,1320.8530448313925,708.247486284149,791.6051297245712,486.3991615488498
3,Primary somatosensory area,3441.601203461828,1392.1406702058941,1920.185762572214,2070.553573713599,587.6489112353278,1190.6382155307756,353.5481213074542
4,Supplemental somatosensory area,2910.641848821309,988.4398997307837,981.6581508475537,1049.2637100272536,465.18558745906313,602.7279319970731,299.88045843033
5,Visceral area,2684.6065631075166,1116.2311499236519,259.04098415949727,2013.4549223306376,432.5199462784333,363.44235050256736,147.5748637029863
6,Dorsal auditory area,4883.791278043856,3431.8124527350606,1742.3745903705553,1532.140156289386,601.9662213259384,1622.8888328711855,1444.4164355936462
7,Primary auditory area,3167.0338048681347,2385.1367237880413,1719.8229518824467,1353.4182659054525,1029.0887591794049,1043.1138189297205,927.407075989617
8,Posterior auditory area,3619.2601024473474,2226.3403528742137,1433.7165623221376,1643.5287421741577,877.1314741035842,1372.5213431986317,1390.0056915196333
9,Ventral auditory area,2411.357106641882,1465.2695622781835,1213.790772350855,1025.1816799053588,1340.5441946932585,869.0214635795178,679.3983437552822
10,Anterolateral visual area,6348.350891384443,9054.165587062445,5236.9041374646895,3550.3200894860242,652.7929624550516,4698.167937966468,3868.222981982722
11,Anteromedial visual area,4523.452559434555,4436.638823445407,1457.5569358178009,2008.1387877489765,587.1350039266064,5693.153423288339,1845.9341757692528
12,Lateral visual area,8133.248585674765,10980.26458640118,7467.732065803149,3715.6742373697766,1109.6995274396884,2918.2671998926235,5516.661995017796
13,Primary visual area,6044.885332069355,8712.511267885786,3790.580259087312,4684.664248744133,624.5857861704424,4050.8694787359655,3208.518310049896
14,Posterolateral visual area,2963.031210411148,3393.636688750553,2660.443576983458,2897.858489365184,791.3830412724197,961.2976354279688,2108.803045272977
16,Laterointermediate area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Postrhinal area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Anterior cingulate area,3312.6666690403504,3049.143557006703,385.88533526068466,1056.1432116523608,1123.4766138191944,2079.132413100748,3057.346611077789
19,Prelimbic area,2153.6924642048525,1787.306396139469,320.19637145030345,959.0233619232805,916.7480463772746,1115.598604686265,1524.2599882976547
20,Infralimbic area,2488.167803092398,1108.5037030341896,310.2074941954777,455.54946700035185,995.7009778721977,1331.9398701819812,1609.6081167345767
21,Orbital area,1478.561892351403,2732.286756720159,1039.8712544197435,857.9987734510217,865.7517744159406,1394.2480068579102,799.8512662141302
22,Agranular insular area,2759.82689231453,2270.442408805841,1059.35129410451,2296.360701143807,581.9834734070596,827.7360089388666,474.06912894534577
23,Retrosplenial area,2715.834538682919,2755.7279484786222,917.7297589820561,1809.1661342351263,968.8658569929116,2910.768245639195,1422.5627265785872
24,Anterior area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Rostrolateral visual area,5363.907222326984,6323.364133509333,3283.8770507260037,2983.3679049594566,742.2213841221949,5885.272487271355,2065.5478031303032
26,Perirhinal area,8336.352575368392,3248.884682979586,1475.1926456671624,5372.989049614708,1745.5725294038123,2357.712586183588,1447.0731377585507
27,Ectorhinal area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Main olfactory bulb,6185.331195800433,8153.802075991672,2248.85909742337,1585.9311767815723,895.2931978203516,3695.887736103765,2507.408031403752
29,Accessory olfactory bulb,2603.2236790787056,4936.866663357419,912.2175026060318,4277.891631624107,2064.0622894787225,3030.740538508995,1710.067437721158
30,Anterior olfactory nucleus,2872.436060528962,4849.68318007245,3002.7017531106508,2367.2688062612824,813.3851876082821,2019.8936260434461,1511.6248076666789
31,Taenia tecta,2813.38073245429,3336.477956454528,2592.797565707202,1636.0968596441166,1125.604388029427,2412.549606593867,1898.275709263513
32,Dorsal peduncular area,1192.0961724471506,735.7744921929,403.2610197595702,208.70526461240914,357.2751139975139,562.4430012436111,512.9197181152429
33,Piriform area,3375.815852864784,4903.766451049693,3743.478965553028,3184.8220280916707,952.6640259803756,3404.1356268828667,1852.4754504502603
34,Nucleus of the lateral olfactory tract,2821.7450729685847,2979.7627970548256,2579.0749966932863,1416.5160266302296,428.90525109122484,1303.646223711486,1365.724615316795
35,Cortical amygdalar area,1043.2661844700854,1850.1046087632317,980.7161217048272,1027.7721322254802,375.8742303783861,1352.5733755753527,832.0879909139844
36,Piriform-amygdalar area,543.9677846794195,643.2877453652686,479.7918100824094,545.4957840745865,224.61591108953562,811.3676788336287,336.15986693672
37,Postpiriform transition area,1942.357692094924,608.0654975936262,778.0051999778711,958.5661337611314,473.97245118105803,593.4613044199803,290.756209548044
38,Ammon's horn,2102.8723199629026,1082.4086980274164,949.6371284002479,1227.097106249403,1797.0817446996523,1320.4082009069389,730.0749984410098
39,Dentate gyrus,3012.21230382805,1708.9544387409373,1153.805575767563,2099.395013106944,2788.1751291013907,1600.4673326942323,642.4470811203325
40,Fasciola cinerea,1055.2901917163324,326.6374402931505,0.0,402.0153111300314,1834.1948570307684,904.5344500425707,1130.6680625532133
41,Induseum griseum,0.0,254.27937622093808,63.56984405523452,25.427937622093808,508.55875244187615,0.0,648.412409363392
42,Entorhinal area,4086.4461464790716,2313.2691537771166,1591.8065088432268,2451.0973238747465,1069.9686254602184,1491.1567758800727,1065.2794532090231
43,Parasubiculum,2895.4467328924757,2395.781746147348,1525.0968625280393,2129.1694584437905,1450.5199988347365,919.1598450199552,783.0570687796778
44,Postsubiculum,4594.7532397164305,3237.133697566255,1005.6441052964262,4324.269652774633,2807.1341490946793,1628.1031290919727,1045.5230956788707
45,Presubiculum,6353.687201492286,6167.401084589895,3388.6331741292192,4637.193695748821,3781.164634744973,1827.3780991377464,2665.6656251985087
46,Subiculum,6784.572315612088,4964.880391662563,2730.8115853577565,4301.707553302984,3680.142229770061,3282.7480065277014,1827.3341205503395
47,Prosubiculum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Hippocampo-amygdalar transition area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Area prostriata,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Claustrum,4841.807863998509,5294.371211081596,2479.7991620991083,3567.811044470092,1069.4133886552404,3471.7188269387516,2613.0883670619355
51,Endopiriform nucleus,4372.060235860212,2995.6249130964957,1637.8152374608405,3623.3092213121554,1050.4864980226469,2439.959773776006,877.2679797316785
52,Lateral amygdalar nucleus,1506.9743633494045,1132.2782920274738,417.69398114575887,1197.7989165209262,1711.7263148914433,1558.1623512349142,382.8861493836123
53,Basolateral amygdalar nucleus,1549.2278727043013,1286.1514414903634,1281.2796557271422,1893.175947587709,975.3315097968589,1153.6388687307501,733.6909359410936
54,Basomedial amygdalar nucleus,1207.7231782802635,1429.1183644119699,794.7838423492157,1340.8090485953905,572.144863036994,1220.1611100854157,597.0207266472981
55,Posterior amygdalar nucleus,750.9548127889263,289.97265048285277,241.6438754023773,291.8314495244095,395.9241958515874,278.81985623351227,122.6807367427454
56,Caudoputamen,2205.710961266992,1248.1420550782527,1096.01890487536,2228.7236971523016,2077.7212970736937,2091.095581890156,373.88224146133354
57,Nucleus accumbens,2099.624230884387,961.1077283293585,1066.175060637765,1176.4096387974048,1766.7674773007875,1576.8711922679706,508.97371634646134
58,Fundus of striatum,3414.198917329967,1438.8125821576812,1554.0765735460036,2698.767246643827,1009.5535797459972,2325.1529297299544,564.3960957635103
59,Olfactory tubercle,1054.4816005963423,956.1157796451911,1201.5385029183137,371.8228031953521,501.66568685087185,580.8501727165486,574.4563943547238
60,Lateral strip of striatum,,,,,,,
61,Lateral septal nucleus,3814.455176489867,2286.206198746635,1175.4812556814368,912.138917708733,1628.7754439951073,1715.7339209369136,1442.5239543750686
62,Septofimbrial nucleus,1272.103978554645,265.7598840991598,62.010639623137294,990.3985014095357,868.1489547239221,430.5310122406389,281.7054771451094
63,Septohippocampal nucleus,429.53020134228854,515.4362416107463,343.6241610738308,171.8120805369154,601.3422818792039,0.0,429.53020134228854
64,Anterior amygdalar area,5698.420296792709,2628.6261369076046,2775.6821445667715,2591.862134992813,863.9540449976043,2235.2513164193338,1077.1852561033961
65,Bed nucleus of the accessory olfactory tract,13686.875416388932,8314.457028647483,5180.54630246497,11064.623584277035,1662.8914057294965,7674.883411059214,3389.7401732178196
66,Central amygdalar nucleus,2593.440368827602,1259.3080070736096,958.5988080750907,2131.788218252411,909.1864983804984,770.83203123564,240.00264708801976
67,Intercalated amygdalar nucleus,3079.1938688617824,3042.8611978427643,1471.4731762702324,3215.4413851831005,953.7326142492246,1798.4672154413952,753.9029236446252
68,Medial amygdalar nucleus,2391.5319074527074,1932.5417452146685,1039.3965597775227,2328.984149873175,766.2100303492712,1742.1390125828568,689.8649733036656
69,Globus pallidus external segment,2145.3105654780175,3245.620701913534,1463.942042487468,3358.5937212694803,3056.155534035333,2368.9029996199943,154.16109932946807
70,Globus pallidus internal segment,2642.7608940165114,5341.113845674147,1834.537902157093,3942.7597803935655,3138.8131006603876,3647.6942436829845,359.210218604186
71,Substantia innominata,4066.757076673435,1375.0515415428758,1449.102040496367,2748.8990099320363,1816.3443523795343,1870.5276442967229,371.4565679211709
72,Magnocellular nucleus,4996.282527881016,689.4772779000042,2437.447841590156,3738.7148167817127,640.9225400197222,1490.630452924657,378.7269554661995
73,Medial septal complex,6024.0613697402505,1774.230971486957,1294.8340712850077,2487.9311798261933,1396.57103402883,1304.0828860799006,1527.5959102898128
74,Triangular nucleus of septum,845.1676965208349,216.14920974239743,43.71557050969835,799.0234832050421,932.5988375402316,99.57435504986847,432.29841948479486
75,Bed nuclei of the stria terminalis,6262.634733136224,2154.1686848021764,1375.5033290199465,2174.9886141011666,3156.3012817269,2369.3079542250744,1150.6480925908531
76,Bed nucleus of the anterior commissure,8654.581087702107,2445.859872611465,3010.2890739833415,2257.716805487506,7713.865752082313,2257.716805487506,1505.1445369916707
77,Ventral anterior-lateral complex of the thalamus,2929.2990512599363,960.0223781440128,2636.145364693816,3605.1190004429013,1548.5675656775218,1568.7078952889347,82.79913284691952
78,Ventral medial nucleus of the thalamus,3204.2717025476627,1391.3545440957423,2078.1255637276377,3433.8550981594776,2675.8340591997776,2363.125641038857,100.9375273810567
