,area,BL4demonstrator,BL9demonstrator,BL17demonstrator,BL22demonstrator,BL6demonstrator,BL14demonstrator,BL3demonstrator
0,"Frontal pole, cerebral cortex",577.427069758116,21.9972217050711,802.898592235095,313.460409297263,142.981941082962,218.139115241955,333.624529193578
1,Primary motor area,2928.58883400557,1018.14023250393,805.830631930363,294.226988225255,763.774076208154,1928.35219550387,1683.27563986963
2,Secondary motor area,1831.67453349349,478.794604603408,735.302160032356,336.50164483581,709.709901081349,1275.22570315874,1367.65031834181
3,Primary somatosensory area,3286.67921313072,647.013036462772,424.577337091031,259.028928650569,1135.90816737358,2496.08968537089,2202.22528081296
4,Supplemental somatosensory area,3221.33071953429,519.015719219702,484.047326540547,141.780937590029,571.998132369937,1349.56802776279,2342.45845019819
5,Visceral area,1915.33333742174,171.124044081122,284.945082575447,373.646995333093,572.245083188708,977.290985692649,1161.75956532138
6,Dorsal auditory area,4486.00957902697,1644.06352407361,1455.00378119486,183.00983110663,1604.73909755483,2475.9263927401,3998.99168137131
7,Primary auditory area,4973.63681395566,1108.85628650932,1488.40946600224,229.660353411417,854.652078534855,2094.99330020339,3168.78693733692
8,Posterior auditory area,5160.796812749,1168.53727945361,926.670461013089,148.616960728514,2205.94194649971,2704.24587364826,3255.00284575981
9,Ventral auditory area,2875.78164610445,1028.22376204158,1273.61838769647,307.250295757986,853.811052898429,1616.35964171033,2223.76204157513
10,Anterolateral visual area,6921.06144580597,2839.28537573387,2414.60593919248,354.303987057389,4952.9755998913,5023.35104937531,5261.17153383848
11,Anteromedial visual area,3068.18019561647,1539.80152780752,1224.53059184693,105.090311986863,3056.7573356179,2092.66795173841,2695.79495966302
12,Lateral visual area,4863.27333883405,2637.81035211073,2455.89239679275,398.703518738577,5031.54744750318,9238.40016423151,5011.8396690104
13,Primary visual area,4199.56748246865,1181.18760342121,1822.83709493802,216.41112018655,3752.39006140733,4911.9094675633,3541.66684300291
14,Posterolateral visual area,2276.39004224831,986.901204410312,865.866151039236,225.776926480661,1934.233256757,3535.62011674355,2132.07901707511
16,Laterointermediate area,0,0,0,0,0,0,0
17,Postrhinal area,0,0,0,0,0,0,0
18,Anterior cingulate area,2247.97860939727,106.639702924122,1631.38237838729,588.569129600442,1164.49188417463,2484.15820786063,2201.15284240816
19,Prelimbic area,2087.9308622444,143.266347128131,1262.77933288347,309.236104456895,558.973616663855,1133.60475760401,1673.00646892249
20,Infralimbic area,3067.3664111357,41.2163803476509,2273.40876864938,277.668246552595,1158.39721608661,1336.27843653437,1648.65521390604
21,Orbital area,2133.36743218018,574.045113110868,714.568255600023,282.338451805796,1064.74546584886,2270.98319930749,1668.83345769879
22,Agranular insular area,2661.80862310913,525.905713621278,739.613814989781,384.76883079908,1068.30488600308,2089.72122495839,1956.59545067701
23,Retrosplenial area,2039.27857528398,352.150008287523,923.895104132301,625.782532749867,1539.16028339057,1845.61420409393,1765.10204977896
24,Anterior area,0,0,0,0,0,0,0
25,Rostrolateral visual area,5119.51725438431,1944.25796718838,1364.9632283613,383.78276447294,4485.91363379219,4623.49613426362,3204.22402413728
26,Perirhinal area,8407.73286467487,516.966337704475,1620.11626335001,506.151142355009,2697.30972015682,2887.65715830742,5360.01081519535
27,Ectorhinal area,0,0,0,0,0,0,0
28,Main olfactory bulb,6377.65778701745,2065.69091531193,1916.573228593,537.410749694918,2810.10519389305,10123.4471111964,4217.44739311596
29,Accessory olfactory bulb,4539.30321446046,522.823165672711,716.158815478765,506.484941745439,2453.45662641204,12588.6015359632,3172.33847921202
30,Anterior olfactory nucleus,1745.79289790281,2450.62334169302,1272.80437126692,340.396660972389,3107.767237306,4051.03042198234,2613.06776190649
31,Taenia tecta,2785.65027720609,913.844547952222,2365.91202276734,626.45619356173,2672.20750573615,3845.70995283066,2883.96734581336
32,Dorsal peduncular area,1322.9791350007,173.331490949289,615.503661738291,145.032472018793,880.806964211693,1167.33453088297,898.493851043253
33,Piriform area,4902.77855195604,2368.65272688449,2305.09788519275,619.906681267908,3361.16201630892,4261.79669002351,4343.29836524997
34,Nucleus of the lateral olfactory tract,6021.60398571496,1066.61963758213,1805.91684669989,411.974780653413,1568.89026057053,2618.57942771485,3662.62510471322
35,Cortical amygdalar area,1781.8160081296,628.369896586768,668.539661665374,309.307191105267,1517.26941239764,1580.39332894973,1488.57672305578
36,Piriform-amygdalar area,854.151661898302,412.559836695065,493.543804638912,168.07993346836,521.047793751916,472.151813106575,663.151737502438
37,Postpiriform transition area,1425.9003153178,290.756209548044,888.200475742655,698.345964485256,845.715550146594,1586.54644022791,1022.29352215522
38,Ammon's horn,2822.60440188766,561.440490023776,886.230553235368,481.058041011562,811.356831498116,1825.41234211375,2363.35642396472
39,Dentate gyrus,4360.39061126263,854.618478623134,1417.96037825108,619.563082188606,853.205886096484,2559.90017679478,3304.90147534989
40,Fasciola cinerea,1206.04593339009,0,5050.31734607102,1708.56507230263,552.771052803793,804.030622260063,1407.05358895511
41,Induseum griseum,152.567625732563,0,800.980035095955,1118.82925537213,177.995563354657,152.567625732563,0
42,Entorhinal area,4422.72678506478,478.128099184367,1362.87442072238,666.867282294974,1440.74817417972,2963.22192188028,2679.19205980788
43,Parasubiculum,3587.14714364786,397.121799166837,648.818714131733,454.918868529146,522.038045853119,3093.07542167973,2172.05115506744
44,Postsubiculum,3479.87537815505,400.523772971508,794.112069354764,650.200930148552,1345.48245812074,3552.69788233169,3868.26206709712
45,Presubiculum,5357.94355281165,978.002113737556,1827.37809913775,1570.12584246302,2219.9095597535,6446.83025994348,5963.37343274442
46,Subiculum,8267.15845617012,665.720237226518,2494.75262368815,989.23989332767,2584.76071698663,5385.20120470737,5737.59138130049
47,Prosubiculum,0,0,0,0,0,0,0
48,Hippocampo-amygdalar transition area,0,0,0,0,0,0,0
49,Area prostriata,0,0,0,0,0,0,0
50,Claustrum,4178.461588137,1236.79983209693,1912.54510376894,964.021924266028,3161.74393167636,4404.74326167854,4798.41137866177
51,Endopiriform nucleus,4329.84210236994,1077.80411381047,918.244403413413,659.347908333363,1968.73090143606,2240.66534950575,3980.92164617093
52,Lateral amygdalar nucleus,2878.81243868106,341.935759075205,982.809367401786,622.445932687798,909.098664846652,1148.65844815084,1760.86678326153
53,Basolateral amygdalar nucleus,2644.4053122764,907.126509111764,1246.20279823195,391.691575362974,1054.25443916104,1675.89430254805,2184.50873622833
54,Basomedial amygdalar nucleus,2230.12117266376,690.305215185939,818.415912779005,251.246222464071,973.890060343405,1027.37316710556,1651.75734372419
55,Posterior amygdalar nucleus,1139.44381247429,63.1991674129295,297.40784664908,131.974731950529,195.173899363459,399.641793934701,806.718784035629
56,Caudoputamen,2742.62498747426,438.736315319934,992.909893441179,616.636718381372,1363.65403455452,2786.63310902116,2166.18584021722
57,Nucleus accumbens,2671.03550126658,547.297456409774,1289.6584437036,423.283555980179,608.012595161763,1186.31352667893,2245.59892618172
58,Fundus of striatum,3895.12798484676,290.147288667157,1009.553579746,337.842733379566,1061.22364485111,1617.67049982922,3362.52885222486
59,Olfactory tubercle,2000.76079814642,556.258717478761,818.895459418335,165.74640830269,434.776928604089,1036.77575282514,1900.919489881
60,Lateral strip of striatum,,,,,,,
61,Lateral septal nucleus,3430.23438830018,143.697341329368,1676.26340658035,677.16601192981,1194.5997860729,3433.31802223429,2351.5792381497
62,Septofimbrial nucleus,954.963850196314,3.54346512132213,545.693628683608,193.118849112056,290.564139948415,765.38846620558,623.649861352695
63,Septohippocampal nucleus,2405.36912751682,0,4553.02013422826,4080.53691275174,128.859060402687,859.060402684577,42.9530201342289
64,Anterior amygdalar area,7753.52800382956,944.834849210146,1529.38247965533,547.783628530396,1474.23647678315,2665.3901388224,6058.70751555767
65,Bed nucleus of the accessory olfactory tract,24367.754830113,4029.31379080609,3517.65489673547,575.616255829441,4604.93004663553,5948.03464357089,13239.1738840771
66,Central amygdalar nucleus,3412.27292948085,567.535671349317,928.951422258335,703.066577940199,546.358967194492,1143.54202436056,2524.26313525517
67,Intercalated amygdalar nucleus,4032.92648311101,908.316775475452,1262.56031791088,408.742548963953,2334.37411297191,2488.78796480274,3515.18592109
68,Medial amygdalar nucleus,3730.78977562622,654.91181465628,983.287541948825,408.40006419577,1430.3200446496,1679.59125500332,2974.69776488541
69,"Globus pallidus, external segment",2415.97509101831,374.223126616571,274.194932395161,144.746681049806,1115.60856613997,3316.228839011,2444.21834585729
70,"Globus pallidus, internal segment",3185.85253404903,709.867812955891,226.644542690736,277.96028820562,2381.90585431585,2206.57705714,3083.22104301926
71,Substantia innominata,4845.79240712724,365.436202152594,813.351415334687,416.007274608637,699.566502308591,1250.42997013334,4106.49149074604
72,Magnocellular nucleus,6224.71739625215,169.941582580987,995.372126545781,223.351794249297,587.512328351412,1597.45087626128,5263.33358622257
73,Medial septal complex,8757.08614163111,174.186011970483,5492.25451903391,981.915837391131,951.086454741488,2976.57689482304,4422.4749410913
74,Triangular nucleus of septum,641.161700808909,0,1224.03597427155,240.435637803341,267.150708670379,262.29342305819,342.438635659304
75,Bed nuclei of the stria terminalis,6046.10746842673,526.05021362115,1536.51078226547,781.441346355429,1492.09493309429,3253.46095178885,5107.82265468557
76,Bed nucleus of the anterior commissure,6208.72121509064,0,752.572268495835,0,752.572268495835,3010.28907398334,3951.00440960314
77,Ventral anterior-lateral complex of the thalamus,2519.77901582788,2944.96375206881,120.841977668477,105.1772768596,326.720902585142,8105.36376139304,2696.56635352805
78,Ventral medial nucleus of the thalamus,2806.45909463409,1268.64617747563,168.229212301761,120.729199416558,395.833440710026,2727.29240649208,3439.79259977013
79,Ventral posterior complex of the thalamus,2451.48469900031,5253.6604531366,80.4644868380844,54.9840660060244,441.884140219147,4517.41039856812,2339.50495481731
80,Posterior triangular thalamic nucleus,0,0,0,0,0,0,0
81,Subparafascicular nucleus,10054.7390198698,405.49976294125,2879.87586741949,1042.71367613464,2648.16171716735,3599.84483427437,9458.90263350713
82,Subparafascicular area,1244.66750313675,0,247.59514847344,227.519866164783,267.670430782097,307.820995399412,408.197406942698
