area,fold_change
Frontal pole cerebral cortex,1.4155005382131325
Primary motor area,1.2271227452705673
Secondary motor area,1.583012512030799
Primary somatosensory area,1.4338751931951466
Supplemental somatosensory area,1.7893488004218296
Visceral area,2.1050878255602665
Dorsal auditory area,2.406522737712448
Primary auditory area,2.2817933611151027
Posterior auditory area,3.1263897015798707
Ventral auditory area,2.6527484143763216
Anterolateral visual area,3.656759348034516
Anteromedial visual area,4.022
Lateral visual area,4.635997154375149
Primary visual area,4.585785709765206
Posterolateral visual area,5.8045197740112995
Laterointermediate area,
Postrhinal area,
Anterior cingulate area,2.2881686548128144
Prelimbic area,2.2323256947830323
Infralimbic area,1.74075500770416
Orbital area,2.121252655598395
Agranular insular area,2.671831174034994
Retrosplenial area,2.7288264750707603
Anterior area,
Rostrolateral visual area,2.673539518900344
Perirhinal area,2.755826558265583
Ectorhinal area,
Main olfactory bulb,3.3559657773844145
Accessory olfactory bulb,2.719770253929867
Anterior olfactory nucleus,5.079625884732052
Taenia tecta,4.785607196401799
Dorsal peduncular area,3.083857442348009
Piriform area,3.932139518579107
Nucleus of the lateral olfactory tract,3.1535269709543567
Cortical amygdalar area,4.644385026737968
Piriform-amygdalar area,2.8785276073619634
Postpiriform transition area,2.415757000474609
Ammon's horn,1.6137488372093025
Dentate gyrus,1.7493897477624085
Fasciola cinerea,2.2239583333333335
Induseum griseum,4.5
Entorhinal area,3.0206844271171764
Parasubiculum,1.6243386243386242
Postsubiculum,2.047619047619048
Presubiculum,1.7869225764476253
Subiculum,2.0778010400486253
Prosubiculum,
Hippocampo-amygdalar transition area,
Area prostriata,
Claustrum,3.5446808510638306
Endopiriform nucleus,3.084290220820189
Lateral amygdalar nucleus,2.4762463343108503
Basolateral amygdalar nucleus,2.1590672496356444
Basomedial amygdalar nucleus,3.1691593604951005
Posterior amygdalar nucleus,2.0323785803237855
Caudoputamen,1.0406064721158623
Nucleus accumbens,1.5296622613803232
Fundus of striatum,1.4267515923566878
Olfactory tubercle,2.080201242971293
Lateral strip of striatum,
Lateral septal nucleus,2.5129682997118157
Septofimbrial nucleus,1.64878892733564
Septohippocampal nucleus,7.3947368421052655
Anterior amygdalar area,1.6809074837949325
Bed nucleus of the accessory olfactory tract,3.981900452488688
Central amygdalar nucleus,1.6626851409460106
Intercalated amygdalar nucleus,2.837931034482758
Medial amygdalar nucleus,2.632911392405063
Globus pallidus external segment,0.7563989408649602
Globus pallidus internal segment,0.8344664498965417
Substantia innominata,1.334490517518483
Magnocellular nucleus,0.8777589134125638
Medial septal complex,2.6681094182825484
Triangular nucleus of septum,1.6195508586525755
Bed nuclei of the stria terminalis,1.927215641501356
Bed nucleus of the anterior commissure,1.6956521739130437
Ventral anterior-lateral complex of the thalamus,0.8336291038154392
Ventral medial nucleus of the thalamus,1.1033173461231014
Ventral posterior complex of the thalamus,0.6882487425697301
Posterior triangular thalamic nucleus,
Subparafascicular nucleus,2.128805620608899
Subparafascicular area,4.488888888888889
Peripeduncular nucleus,0.9723577235772358
Medial geniculate complex,1.0168630168630166
Dorsal part of the lateral geniculate complex,0.807609067091924
Lateral posterior nucleus of the thalamus,1.22561919504644
Posterior complex of the thalamus,1.1706603510727225
Posterior limiting nucleus of the thalamus,1.5169660678642716
Suprageniculate nucleus,0.8132530120481929
Ethmoid nucleus of the thalamus,
Retroethmoid nucleus,
Anteroventral nucleus of thalamus,0.6490035169988275
Anteromedial nucleus,2.7187797902764537
Anterodorsal nucleus,0.4669051878354203
Interanteromedial nucleus of the thalamus,7.448979591836734
Interanterodorsal nucleus of the thalamus,2.5424107142857144
Lateral dorsal nucleus of thalamus,1.2944332662642524
Intermediodorsal nucleus of the thalamus,7.8
Mediodorsal nucleus of thalamus,1.7511139401655
Submedial nucleus of the thalamus,1.8363273453093814
Perireunensis nucleus,2.235294117647059
Paraventricular nucleus of the thalamus,2.610183639398998
Parataenial nucleus,3.099776619508564
Nucleus of reuniens,4.481203007518797
Xiphoid thalamic nucleus,
Rhomboid nucleus,5.482352941176471
Central medial nucleus of the thalamus,5.367588932806322
Paracentral nucleus,2.0968819599109123
Central lateral nucleus of the thalamus,1.664691943127962
Parafascicular nucleus,1.9006156552330693
Posterior intralaminar thalamic nucleus,
Reticular nucleus of the thalamus,1.3569620253164556
Intergeniculate leaflet of the lateral geniculate complex,1.5862068965517238
Intermediate geniculate nucleus,
Ventral part of the lateral geniculate complex,1.2075105212042734
Subgeniculate nucleus,1.3658536585365855
Medial habenula,1.7380699893955462
Lateral habenula,1.625
Pineal body,
Supraoptic nucleus,1.6269841269841268
Nucleus circularis,
Paraventricular hypothalamic nucleus,2.5030262273032955
Arcuate hypothalamic nucleus,1.701799485861183
Anterodorsal preoptic nucleus,3.115702479338843
Anterior hypothalamic area,
Anteroventral preoptic nucleus,1.6018237082066873
Anteroventral periventricular nucleus,2.0273972602739723
Dorsomedial nucleus of the hypothalamus,2.8316135084427767
Median preoptic nucleus,2.49076923076923
Medial preoptic area,2.114727854855923
Vascular organ of the lamina terminalis,2.692307692307692
Posterodorsal preoptic nucleus,1.7
Parastrial nucleus,2.754966887417219
Suprachiasmatic preoptic nucleus,
Periventricular hypothalamic nucleus posterior part,3.072649572649573
Periventricular hypothalamic nucleus preoptic part,2.164882226980728
Subparaventricular zone,2.3810930576070906
Suprachiasmatic nucleus,1.0612244897959182
Subfornical organ,0.33974358974358976
Ventromedial preoptic nucleus,
Ventrolateral preoptic nucleus,1.6647727272727273
Anterior hypothalamic nucleus,2.089683286296644
Lateral mammillary nucleus,0.9853658536585367
Medial mammillary nucleus,1.4793201133144476
Supramammillary nucleus,2.4708520179372195
Tuberomammillary nucleus,1.7777777777777781
Medial preoptic nucleus,1.7949999999999997
Dorsal premammillary nucleus,2.825892857142857
Ventral premammillary nucleus,3.333333333333334
Paraventricular hypothalamic nucleus descending division,1.8471177944862158
Ventromedial hypothalamic nucleus,2.1543859649122807
Posterior hypothalamic nucleus,2.4706282989954027
Lateral hypothalamic area,1.5746126182124938
Lateral preoptic area,1.9852316780505816
Preparasubthalamic nucleus,1.526315789473684
Parasubthalamic nucleus,1.8590785907859078
Perifornical nucleus,
Retrochiasmatic area,1.2713178294573644
Subthalamic nucleus,1.5244831338411315
Tuberal nucleus,1.237261146496815
Zona incerta,1.7447329740323372
Median eminence,
Superior colliculus sensory related,1.9674103492582644
Inferior colliculus,2.2549066197785486
Nucleus of the brachium of the inferior colliculus,1.7544378698224852
Nucleus sagulum,1.3537906137184115
Parabigeminal nucleus,1.5380710659898478
Midbrain trigeminal nucleus,1.3344370860927153
Subcommissural organ,
Substantia nigra reticular part,1.0937708194536975
Ventral tegmental area,1.3900200745626614
Paranigral nucleus,
Midbrain reticular nucleus retrorubral area,0.8846493162770181
Midbrain reticular nucleus,1.434139642970318
Superior colliculus motor related,1.8514576747453464
Periaqueductal gray,2.169501006936675
Pretectal region,1.3918882379450204
Intercollicular nucleus,
Cuneiform nucleus,1.8680497925311204
Red nucleus,0.8425302826379542
Oculomotor nucleus,4.120481927710842
Medial accesory oculomotor nucleus,
Edinger-Westphal nucleus,2.616161616161617
Trochlear nucleus,2.9565217391304355
Paratrochlear nucleus,
Ventral tegmental nucleus,1.0000000000000002
Anterior tegmental nucleus,0.8636363636363638
Lateral terminal nucleus of the accessory optic tract,0.8651685393258425
Dorsal terminal nucleus of the accessory optic tract,
Medial terminal nucleus of the accessory optic tract,
Substantia nigra lateral part,
Substantia nigra compact part,1.1729135432283857
Pedunculopontine nucleus,0.9858106536403818
Interfascicular nucleus raphe,1.6675191815856778
Interpeduncular nucleus,1.6054569077522738
Rostral linear nucleus raphe,2.106382978723404
Central linear nucleus raphe,1.6562835660580022
Dorsal nucleus raphe,3.582089552238806
