,area,BL2observer,BL16observer,BL10observer,BL5observer,BL18observer,BL8observer,BL21observer
0,"Frontal pole, cerebral cortex",933.048820656765,183.310180875592,520.600913686683,179.643977258081,243.802540564538,115.485413951623,137.482635656694
1,Primary motor area,2961.69359272667,545.046206086624,1313.71843537086,1130.79775325378,695.706638633655,872.715756693395,344.390831797529
2,Secondary motor area,2314.8563824885,838.402403234984,679.876639218461,1320.85304483139,708.247486284149,791.605129724571,486.39916154885
3,Primary somatosensory area,3441.60120346183,1392.14067020589,1920.18576257221,2070.5535737136,587.648911235328,1190.63821553078,353.548121307454
4,Supplemental somatosensory area,2910.64184882131,988.439899730784,981.658150847554,1049.26371002725,465.185587459063,602.727931997073,299.88045843033
5,Visceral area,2684.60656310752,1116.23114992365,259.040984159497,2013.45492233064,432.519946278433,363.442350502567,147.574863702986
6,Dorsal auditory area,4883.79127804386,3431.81245273506,1742.37459037056,1532.14015628939,601.966221325938,1622.88883287119,1444.41643559365
7,Primary auditory area,3167.03380486813,2385.13672378804,1719.82295188245,1353.41826590545,1029.0887591794,1043.11381892972,927.407075989617
8,Posterior auditory area,3619.26010244735,2226.34035287421,1433.71656232214,1643.52874217416,877.131474103584,1372.52134319863,1390.00569151963
9,Ventral auditory area,2411.35710664188,1465.26956227818,1213.79077235086,1025.18167990536,1340.54419469326,869.021463579518,679.398343755282
10,Anterolateral visual area,6348.35089138444,9054.16558706245,5236.90413746469,3550.32008948602,652.792962455052,4698.16793796647,3868.22298198272
11,Anteromedial visual area,4523.45255943456,4436.63882344541,1457.5569358178,2008.13878774898,587.135003926606,5693.15342328834,1845.93417576925
12,Lateral visual area,8133.24858567477,10980.2645864012,7467.73206580315,3715.67423736978,1109.69952743969,2918.26719989262,5516.6619950178
13,Primary visual area,6044.88533206936,8712.51126788579,3790.58025908731,4684.66424874413,624.585786170442,4050.86947873597,3208.5183100499
14,Posterolateral visual area,2963.03121041115,3393.63668875055,2660.44357698346,2897.85848936518,791.38304127242,961.297635427969,2108.80304527298
16,Laterointermediate area,0,0,0,0,0,0,0
17,Postrhinal area,0,0,0,0,0,0,0
18,Anterior cingulate area,3312.66666904035,3049.1435570067,385.885335260685,1056.14321165236,1123.47661381919,2079.13241310075,3057.34661107779
19,Prelimbic area,2153.69246420485,1787.30639613947,320.196371450303,959.023361923281,916.748046377275,1115.59860468627,1524.25998829765
20,Infralimbic area,2488.1678030924,1108.50370303419,310.207494195478,455.549467000352,995.700977872198,1331.93987018198,1609.60811673458
21,Orbital area,1478.5618923514,2732.28675672016,1039.87125441974,857.998773451022,865.751774415941,1394.24800685791,799.85126621413
22,Agranular insular area,2759.82689231453,2270.44240880584,1059.35129410451,2296.36070114381,581.98347340706,827.736008938867,474.069128945346
23,Retrosplenial area,2715.83453868292,2755.72794847862,917.729758982056,1809.16613423513,968.865856992912,2910.7682456392,1422.56272657859
24,Anterior area,0,0,0,0,0,0,0
25,Rostrolateral visual area,5363.90722232698,6323.36413350933,3283.877050726,2983.36790495946,742.221384122195,5885.27248727136,2065.5478031303
26,Perirhinal area,8336.35257536839,3248.88468297959,1475.19264566716,5372.98904961471,1745.57252940381,2357.71258618359,1447.07313775855
27,Ectorhinal area,0,0,0,0,0,0,0
28,Main olfactory bulb,6185.33119580043,8153.80207599167,2248.85909742337,1585.93117678157,895.293197820352,3695.88773610377,2507.40803140375
29,Accessory olfactory bulb,2603.22367907871,4936.86666335742,912.217502606032,4277.89163162411,2064.06228947872,3030.740538509,1710.06743772116
30,Anterior olfactory nucleus,2872.43606052896,4849.68318007245,3002.70175311065,2367.26880626128,813.385187608282,2019.89362604345,1511.62480766668
31,Taenia tecta,2813.38073245429,3336.47795645453,2592.7975657072,1636.09685964412,1125.60438802943,2412.54960659387,1898.27570926351
32,Dorsal peduncular area,1192.09617244715,735.7744921929,403.26101975957,208.705264612409,357.275113997514,562.443001243611,512.919718115243
33,Piriform area,3375.81585286478,4903.76645104969,3743.47896555303,3184.82202809167,952.664025980376,3404.13562688287,1852.47545045026
