area,pval_noshock_vs_demonstrator,pval_noshock_vs_observer,pval_demonstrator_vs_observer
Frontal pole cerebral cortex,0.26145161725633537,0.4491633936346191,0.350739054433307
Primary motor area,0.22164426105822005,0.26145161725633537,0.350739054433307
Secondary motor area,0.0799320987739866,0.04834878380881808,0.4491633936346191
Primary somatosensory area,0.22164426105822005,0.0799320987739866,0.4491633936346191
Supplemental somatosensory area,0.10066824264370045,0.0799320987739866,0.5
Visceral area,0.04834878380881808,0.04834878380881808,0.5
Dorsal auditory area,0.10066824264370045,0.03681913506015133,0.4491633936346191
Primary auditory area,0.12507650397969117,0.06260051480515774,0.4491633936346191
Posterior auditory area,0.03681913506015133,0.010725366843161034,0.4491633936346191
Ventral auditory area,0.020456776492248384,0.014921032208977135,0.3991489236642632
Anterolateral visual area,0.020456776492248384,0.003645179045767819,0.350739054433307
Anteromedial visual area,0.0075968049887301095,0.002468952735453655,0.26145161725633537
Lateral visual area,0.010725366843161034,0.002468952735453655,0.18554668476134878
Primary visual area,0.014921032208977135,0.003645179045767819,0.12507650397969117
Posterolateral visual area,0.003613111113315827,0.0010703548657925632,0.22164426105822005
Laterointermediate area,,,
Postrhinal area,,,
Anterior cingulate area,0.04834878380881808,0.014921032208977135,0.26145161725633537
Prelimbic area,0.0799320987739866,0.0075968049887301095,0.3046400796520514
Infralimbic area,0.12507650397969117,0.10066824264370045,0.350739054433307
Orbital area,0.03681913506015133,0.020456776492248384,0.3991489236642632
Agranular insular area,0.02764249635851204,0.014921032208977135,0.350739054433307
Retrosplenial area,0.014921032208977135,0.0016472569382912899,0.12507650397969117
Anterior area,,,
Rostrolateral visual area,0.03681913506015133,0.0075968049887301095,0.18554668476134878
Perirhinal area,0.10066824264370045,0.014921032208977135,0.3991489236642632
Ectorhinal area,,,
Main olfactory bulb,0.010725366843161034,0.014921032208977135,0.4491633936346191
Accessory olfactory bulb,0.18554668476134878,0.020456776492248384,0.350739054433307
Anterior olfactory nucleus,0.003645179045767819,0.0016472569382912899,0.4491633936346191
Taenia tecta,0.002468952735453655,0.0016472569382912899,0.4491633936346191
Dorsal peduncular area,0.031667851912785885,0.01065385533581411,0.26145161725633537
Piriform area,0.002468952735453655,0.003645179045767819,0.5
Nucleus of the lateral olfactory tract,0.02764249635851204,0.014921032208977135,0.350739054433307
Cortical amygdalar area,0.002468952735453655,0.002468952735453655,0.4491633936346191
Piriform-amygdalar area,0.005301672691061329,0.003645179045767819,0.4491633936346191
Postpiriform transition area,0.014921032208977135,0.020456776492248384,0.1686862719693794
Ammon's horn,0.15334253295209033,0.06260051480515774,0.3991489236642632
Dentate gyrus,0.15334253295209033,0.04834878380881808,0.4491633936346191
Fasciola cinerea,0.1517375585837325,0.3497932763485362,0.20285868047722583
Induseum griseum,0.15200649852969994,0.3264665399589229,0.34899125728642655
Entorhinal area,0.010725366843161034,0.005301672691061329,0.4491633936346191
Parasubiculum,0.350739054433307,0.04834878380881808,0.26145161725633537
Postsubiculum,0.0799320987739866,0.014921032208977135,0.18554668476134878
Presubiculum,0.10066824264370045,0.010725366843161034,0.2408603401374107
Subiculum,0.0799320987739866,0.014921032208977135,0.350739054433307
Prosubiculum,,,
Hippocampo-amygdalar transition area,,,
Area prostriata,,,
Claustrum,0.005301672691061329,0.002468952735453655,0.3046400796520514
