acro,Authorities_p_value,Authorities_z_score,Hubs_p_value,Hubs_z_score,color,structure
MOs,0.7934217332401681,-0.8183514536809782,0.024785656215069347,1.9636446772107161,#e15759,Isocortex
AUDd,0.7655080599676206,-0.7241333366464032,0.7257496375805363,-0.6000082687095158,#e15759,Isocortex
PERI,0.6626604078196021,-0.4197348211398268,0.4911894183906509,0.022086648564863382,#e15759,Isocortex
PL,0.6798287763218148,-0.4672200539406678,7.26181186153499e-05,3.7990765405757885,#e15759,Isocortex
AOB,0.5869987322697913,-0.21983130835720957,0.5726766588405374,-0.18319287802795764,#76b7b2,Olfactory areas
PAR,0.6731723033285172,-0.44868986981469483,0.49510719758294336,0.012264744359063192,#edc948,Hippocampal formation
POST,0.7083318838469413,-0.5485180595324367,0.24276252589053288,0.6974438751363391,#edc948,Hippocampal formation
DG,0.6505688237561411,-0.3868566269726447,0.5971754146168563,-0.24604270991899738,#edc948,Hippocampal formation
PRE,0.7205972990169374,-0.5846168101779743,0.4540341289266345,0.11547547586178022,#edc948,Hippocampal formation
SUB,0.6836284816850601,-0.4778695761947196,0.19712989635982986,0.8519176629547076,#edc948,Hippocampal formation
BAC,0.4994465356922469,0.0013873297278413717,0.049747084223211245,1.6473108521101365,#bab0ac,Pallidum
ACB,0.2411535855780204,0.7025966173480542,0.18584944288497196,0.8932956147371036,#9c755f,Striatum
PRT,0.6403882852517054,-0.35949685584672925,0.4249008577680371,0.1893714291504215,#ff9da7,Midbrain
DR,0.503746993409777,-0.009392457721691776,0.5335255824375755,-0.08413532976536357,#ff9da7,Midbrain
PAG,0.22234664204689875,0.7642919456580586,0.28610105833088467,0.5648113052188285,#ff9da7,Midbrain
SCm,0.5784955356817526,-0.19804618534088367,0.5359528694319715,-0.09024281565152546,#ff9da7,Midbrain
IC,0.6855101777456216,-0.4831635070073589,0.6573170705356,-0.4051518998854539,#ff9da7,Midbrain
VTA,0.21659243418016588,0.7837533213653872,0.3028866503855531,0.516116133040936,#ff9da7,Midbrain
CUN,0.7078010630758222,-0.5469721381386248,0.37545213901305236,0.3174472254566447,#ff9da7,Midbrain
LH,0.12885695485271553,1.1318109819477171,0.5625912470338528,-0.15754225886298526,#b07aa1,Thalamus
PVT,0.023576796666897007,1.9849180185066977,0.5008918465202368,-0.002235529566299677,#b07aa1,Thalamus
POL,0.6084750750729339,-0.27534675106965856,0.7625774936602479,-0.7146181722826298,#b07aa1,Thalamus
MD,0.14054762087475636,1.0778622332064227,0.6803059804218737,-0.46855459421439655,#b07aa1,Thalamus
SPF,0.21717582188350604,0.7817667862989797,0.7162458816376343,-0.5717250857012842,#b07aa1,Thalamus
AM,0.06828351260566172,1.4886975699388398,0.6271231185243713,-0.3242434052650582,#b07aa1,Thalamus
PR,0.0323195774225998,1.8477455937346565,0.6385179803482323,-0.3545002198444289,#b07aa1,Thalamus
IAD,0.1986979959181639,0.8462810228414577,0.6389068142288324,-0.35553828114333613,#b07aa1,Thalamus
PVp,0.7095383456075143,-0.55203655460238,0.441809521764748,0.1463830041204421,#f28e2b,Hypothalamus
AVPV,0.6546393311341512,-0.3978763448034704,0.6328671438433886,-0.3394566982289641,#f28e2b,Hypothalamus
AHN,0.6163302701549299,-0.2958567787525574,0.4555721712767986,0.11159524482255241,#f28e2b,Hypothalamus
LPO,0.5013927247546827,-0.003491050340009902,0.4791285203285471,0.05234092989279431,#f28e2b,Hypothalamus
MPO,0.6564428778129098,-0.40277433356754433,0.5407560821592585,-0.10233870341193657,#f28e2b,Hypothalamus
PSTN,0.3874958825999749,0.2858516260499731,0.3672649963074287,0.33910584866568566,#f28e2b,Hypothalamus
TM,0.6838198132267457,-0.4784072512856034,0.46450216181130716,0.08909762656339462,#f28e2b,Hypothalamus
PVHd,0.3848441985367521,0.2927825108649198,0.3120926876891225,0.4899272557570416,#f28e2b,Hypothalamus
LHA,0.4487072919777749,0.1289280465270383,0.27821187925697016,0.5881617055757883,#f28e2b,Hypothalamus
TU,0.6820198371811313,-0.47335444391668663,0.5327931973729334,-0.08229314522140192,#f28e2b,Hypothalamus
SUM,0.6514391454994506,-0.3892087800285517,0.21227005052507325,0.7985694617113361,#f28e2b,Hypothalamus
PMv,0.6984813302552928,-0.5200376419296393,0.4213387560283499,0.19846979847060098,#f28e2b,Hypothalamus
PST,0.2400207610066476,0.7062357815366984,0.5034057755745488,-0.008537117051961682,#f28e2b,Hypothalamus
ADP,0.667752487293248,-0.4337155332166146,0.5883377934810187,-0.22327123540762267,#f28e2b,Hypothalamus
PMd,0.7342369583262935,-0.6256781261788898,0.2696203797258764,0.6139615139645805,#f28e2b,Hypothalamus
ZI,0.435817813856371,0.16158124477626987,0.3173686784612997,0.4750696122809872,#f28e2b,Hypothalamus
VMH,0.7805924987906354,-0.7741958155823827,0.5143115034138376,-0.035881316969590314,#f28e2b,Hypothalamus
